Visitors with Patient,Stay
0.0625,0
0.0625,0.38095238
0.0625,0.28571429
0.0625,0.38095238
0.0625,0.38095238
0.0625,0.0952381
0.0625,0
0.0625,0.38095238
0.0625,0.47619048
0.0625,0.28571429
0.0625,0.19047619
0.0625,0.0952381
0.0625,0
0.0625,0.19047619
0.0625,0
0.0625,0
0.125,0
0.0625,0.0952381
0.0625,0.19047619
0.0625,0.28571429
0.0625,0.28571429
0.0625,0.19047619
0.0625,0.0952381
0.0625,0.19047619
0.125,0.28571429
0.0625,0.0952381
0.0625,0.0952381
0.0625,0.19047619
0.125,0.28571429
0.0625,0.19047619
0.125,0.47619048
0.0625,0
0.0625,0.28571429
0.09375,0.0952381
0.09375,0.0952381
0.0625,0
0.25,0.19047619
0.125,0.28571429
0.0625,0.0952381
0.125,0.66666667
0.0625,0
0.0625,0
0.09375,0.38095238
0.09375,0.47619048
0.09375,0.47619048
0.1875,1
0.0625,0
0.125,0.47619048
0.0625,0.0952381
0.125,0.47619048
0.09375,0.0952381
0.0625,0
0.0625,0.19047619
0.0625,0.19047619
0.0625,0.0952381
0.0625,0.19047619
0.09375,0.19047619
0.0625,0.19047619
0.1875,0.28571429
0.0625,0.0952381
0.0625,0
0.0625,0.0952381
0.125,0.47619048
0.0625,0.19047619
0.0625,0.19047619
0.0625,0.0952381
0.0625,0
0.0625,0.0952381
0.0625,0.0952381
0.125,0.19047619
0.0625,0
0.09375,0.19047619
0.09375,0
0.0625,0.0952381
0.0625,0.0952381
0.0625,0.19047619
0.125,0.66666667
0.125,0.38095238
0.125,0.38095238
0.09375,0.47619048
0.09375,0.47619048
0.125,0.28571429
0.21875,0.28571429
0.125,0.19047619
0.0625,0
0.0625,0.19047619
0.0625,0
0.125,0
0.125,0.0952381
0.125,0.0952381
0.40625,1
0.125,0.28571429
0.09375,0.0952381
0.25,0.76190476
0.0625,0.19047619
0.0625,0.0952381
0.0625,0.19047619
0.09375,0.19047619
0.0625,0.19047619
0.09375,0.0952381
0.125,0.19047619
